"","GEOID","NAME","variable","estimate","moe"
"45","17011965600","Census Tract 9656, Bureau County, Illinois","B08014_002",8,9
"46","17013951200","Census Tract 9512, Calhoun County, Illinois","B08014_002",81,50
"47","17013951300","Census Tract 9513, Calhoun County, Illinois","B08014_002",0,11
"48","17015960100","Census Tract 9601, Carroll County, Illinois","B08014_002",10,8
"49","17015960200","Census Tract 9602, Carroll County, Illinois","B08014_002",17,22
"50","17015960300","Census Tract 9603, Carroll County, Illinois","B08014_002",0,11
"51","17015960400","Census Tract 9604, Carroll County, Illinois","B08014_002",37,35
"52","17015960500","Census Tract 9605, Carroll County, Illinois","B08014_002",28,25
"53","17015960600","Census Tract 9606, Carroll County, Illinois","B08014_002",0,11
"54","17017960100","Census Tract 9601, Cass County, Illinois","B08014_002",40,26
"55","17017960200","Census Tract 9602, Cass County, Illinois","B08014_002",8,6
"56","17017960300","Census Tract 9603, Cass County, Illinois","B08014_002",35,38
"57","17017960400","Census Tract 9604, Cass County, Illinois","B08014_002",74,72
"58","17017960500","Census Tract 9605, Cass County, Illinois","B08014_002",13,18
"59","17019000200","Census Tract 2, Champaign County, Illinois","B08014_002",48,38
"60","17019000301","Census Tract 3.01, Champaign County, Illinois","B08014_002",697,241
"61","17019000302","Census Tract 3.02, Champaign County, Illinois","B08014_002",819,263
"62","17019000401","Census Tract 4.01, Champaign County, Illinois","B08014_002",96,58
"63","17019000402","Census Tract 4.02, Champaign County, Illinois","B08014_002",360,129
"64","17019000500","Census Tract 5, Champaign County, Illinois","B08014_002",156,120
"65","17019000700","Census Tract 7, Champaign County, Illinois","B08014_002",223,145
"66","17019000800","Census Tract 8, Champaign County, Illinois","B08014_002",437,270
"67","17019000901","Census Tract 9.01, Champaign County, Illinois","B08014_002",270,130
"68","17019000902","Census Tract 9.02, Champaign County, Illinois","B08014_002",82,97
"69","17019001000","Census Tract 10, Champaign County, Illinois","B08014_002",108,101
"70","17019001100","Census Tract 11, Champaign County, Illinois","B08014_002",52,54
"71","17019001201","Census Tract 12.01, Champaign County, Illinois","B08014_002",145,101
"72","17019001203","Census Tract 12.03, Champaign County, Illinois","B08014_002",15,24
"73","17019001204","Census Tract 12.04, Champaign County, Illinois","B08014_002",0,11
"74","17019001205","Census Tract 12.05, Champaign County, Illinois","B08014_002",0,15
"75","17019001206","Census Tract 12.06, Champaign County, Illinois","B08014_002",0,11
"76","17019001301","Census Tract 13.01, Champaign County, Illinois","B08014_002",30,35
"77","17019001302","Census Tract 13.02, Champaign County, Illinois","B08014_002",31,38
"78","17019001400","Census Tract 14, Champaign County, Illinois","B08014_002",65,62
"79","17019005300","Census Tract 53, Champaign County, Illinois","B08014_002",178,114
"80","17019005401","Census Tract 54.01, Champaign County, Illinois","B08014_002",137,106
"81","17019005402","Census Tract 54.02, Champaign County, Illinois","B08014_002",8,14
"82","17019005500","Census Tract 55, Champaign County, Illinois","B08014_002",185,119
"83","17019005600","Census Tract 56, Champaign County, Illinois","B08014_002",204,160
"84","17019005701","Census Tract 57.01, Champaign County, Illinois","B08014_002",158,113
"85","17019005702","Census Tract 57.02, Champaign County, Illinois","B08014_002",91,61
"86","17019005800","Census Tract 58, Champaign County, Illinois","B08014_002",139,84
"87","17019005900","Census Tract 59, Champaign County, Illinois","B08014_002",285,98
"88","17019006000","Census Tract 60, Champaign County, Illinois","B08014_002",218,114
"89","17019010100","Census Tract 101, Champaign County, Illinois","B08014_002",107,105
